Settlement,query,lat,lon
Dunavarsány,Dunavarsány Hungary,47.2789632,19.0661045
Dunavecse,Dunavecse Hungary,46.9163658,18.9716536
Dunaújváros,Dunaújváros Hungary,46.9649048,18.9405047
Dusnok,Dusnok Hungary,46.3900215,18.958962
Dég,Dég Hungary,46.8727995,18.4477565
Dévaványa,Dévaványa Hungary,47.0313464,20.9620971
Döbrököz,Döbrököz Hungary,46.424126,18.239254
Dömsöd,Dömsöd Hungary,47.094771,19.0070461
Ebes,Ebes Hungary,47.4712353,21.4914725
Ecser,Ecser Hungary,47.4445025,19.3184563
Eger,Eger Hungary,47.8989887,20.3743665
Encs,Encs Hungary,48.3305743,21.1222112
Enese,Enese Hungary,47.643899,17.4218856
Ercsi,Ercsi Hungary,47.2519697,18.8983773
Erdőkertes,Erdőkertes Hungary,47.6702447,19.308359
Esztergom,Esztergom Hungary,47.7856939,18.7403377
Etyek,Etyek Hungary,47.4448813,18.7504665
Fegyvernek,Fegyvernek Hungary,47.2526516,20.5259428
Fehérgyarmat,Fehérgyarmat Hungary,47.9850963,22.5167524
Felcsút,Felcsút Hungary,47.4545349,18.5862386
Felsőzsolca,Felsőzsolca Hungary,48.1041003,20.8605401
Fertőszéplak,Fertőszéplak Hungary,47.6169832,16.8342748
Fonyód,Fonyód Hungary,46.7467521,17.54946
Forró,Forró Hungary,48.3224482,21.08665
Fót,Fót Hungary,47.6125871,19.1980105
Földes,Földes Hungary,47.2881601,21.3642071
Fűle,Fűle Hungary,47.0526686,18.245888
Fűlöpszállás,Fűlöpszállás Hungary,46.8200875,19.2395832
Fűzesabony,Fűzesabony Hungary,47.7485389,20.4142673
Galambok,Galambok Hungary,46.5222609,17.1257806
Galgaguta,Galgaguta Hungary,47.8459936,19.3891248
Geresdlak,Geresdlak Hungary,46.1083102,18.527004
Gyomaendrőd,Gyomaendrőd Hungary,46.9358032,20.8260916
Gyula,Gyula Hungary,46.6438656,21.2747575
Gyál,Gyál Hungary,47.3845453,19.2173066
Gyömrő,Gyömrő Hungary,47.4223375,19.394503
Gyöngyös,Gyöngyös Hungary,47.7799838,19.9291176
